,Rank,Contestant,Contestant.1,Season,IF,IH,IP,VV
0,1,,Rick  Devens,S38,4,4,4,8
1,2-t,,Tai  Trang,S34,3,3,3,9
2,2-t,,Ben  Driebergen,S35,3,3,3,9
3,4,,Russell  Hantz,S19,3,3,2,7
4,5,,Tony  Vlachos,S28,3,3,2,0
5,6,,Kellee  Kim,S39,3,1,1,5†
6,7,,Malcolm  Freberg,S26,2,3,3,6
7,8,,Russell  Hantz,S20,2,3,2,4
8,9,,Kelley  Wentworth,S31,2,2,2,12
9,10,,Davie  Rickenbacker,S37,2,2,2,9
10,11,,Jeremy  Collins,S31,2,2,2,8
11,12,,Michael  Yerger,S36,2,2,2,7
12,13,,David  Wright,S33,2,2,2,5
13,14-t,,Adam  Klein,S31,2,2,2,4
14,14-t,,Natalie  Anderson,S40,2,2,2,4
15,15-t,,Tyson  Apostol,S27,2,2,2,2
16,15-t,,Joe  Mena,S35,2,2,2,2
17,17-t,,Dan  Rengering,S37,2,2,2,2#
18,17-t,,Janet  Carbin,S39,2,2,2,2#
19,19,,Jon  Misch,S29,2,2,1,4
20,20,,Ryan  Ulrich,S35,2,2,1,2
21,21,,Reynold  Toepfer,S26,2,2,1,1
22,22-t,,Maryanne  Oketch,S42,2,2,1,0
23,22-t,,Austin Li Coon,S45,2,2,1,0
24,24,,Parvati  Shallow,S20,1,3,2,5
25,25,,Sandra  Diaz-Twine,S20,1,2,1,2
26,26,,Denise  Stapley,S40,1,2,2,4
27,27,,Domenick  Abbate*,S36,1,2*,2*,0
28,28,,Dean  Kowalski,S39,1,2,1,5†
29,29-t,,Jenn  Brown,S30,1,1,1,7
30,29-t,,Karishma  Patel,S39,1,1,1,7
31,31,,Danny Massa,S44,1,1,1,6
32,32-t,,Carolyn  Rivera,S30,1,1,1,5
33,32-t,,Christian  Hubicki,S37,1,1,1,5
34,34-t,,Mike  Holloway,S30,1,1,1,4
35,34-t,,Yau-Man  Chan,S14,1,1,1,4
36,34-t,,Amanda  Kimmel,S16,1,1,1,4
37,34-t,,Jonathan  Penner,S25,1,1,1,4
38,38-t,,Tom  Westman,S20,1,1,1,3
39,38-t,,Abi-Maria  Gomes,S25,1,1,1,3
40,38-t,,Keith  Nale,S29,1,1,1,3
41,38-t,,Natalie  Anderson,S29,1,1,1,3
42,38-t,,Chris  Underwood,S38,1,1,1,3
43,43-t,,Sugar  Kiper,S17,1,1,1,2
44,43-t,,Kristina  Kell,S22,1,1,1,2
45,43-t,,Troyzan  Robertson,S24,1,1,1,2
46,43-t,,Mike  Zahalsky,S35,1,1,1,2
47,43-t,,Janet  Carbin,S39,1,1,1,2
48,43-t,,Kim  Spradlin,S40,1,1,1,2
49,43-t,,Michele  Fitzgerald*,S40,1,1,1,2
50,43-t,,Ben  Driebergen,S40,1,1,1,2
51,43-t,,Brandon Cottom,S44,1,1,1,2
52,43-t,,Josh Wilder,S44,1,1,1,2
53,53-t,,Boston  Rob Mariano,S22,1,1,1,1
54,53-t,,Jay  Starrett,S33,1,1,1,1
55,53-t,,Donathan  Hurley,S36,1,1,1,1
56,53-t,,Wendell  Holland,S36,1,1,1,1
57,53-t,,Lauren  O'Connell,S38,1,1,1,1
58,53-t,,Karla Cruz Godoy,S43,1,1,1,1
59,53-t,,Jake O'Kane,S45,1,1,1,1
60,60,,Gary  Hogeboom,S11,1,1,1,0
61,61-t,,Earl  Cole,S14,1,1,1,0
62,61-t,,Ralph  Kiser,S22,1,1,1,0
63,61-t,,Ozzy  Lusth,S23,1,1,1,0
64,61-t,,L.J.  McKanas,S28,1,1,1,0
65,61-t,,Spencer  Bledsoe,S28,1,1,1,0
66,61-t,,Nick  Wilson,S37,1,1,1,0
67,61-t,,Angelina  Keeley,S37,1,1,1,0
68,61-t,,Jamal  Shipman,S39,1,1,1,0
69,61-t,,Elaine  Stott,S39,1,1,1,0
70,61-t,,Tony  Vlachos,S40,1,1,1,0
71,61-t,,Xander  Hastings,S41,1,1,1,0
72,61-t,,Drea  Wheeler,S42,1,1,1,0
73,61-t,,Mike Turner,S42,1,1,1,0
74,76,,Jesse Lopez,S42,0,2,2,2
75,77,,Julie Alley,S45,0,1,1,6
76,78,,Sarah  Lacina*,S34,0,1*,1*,3
77,79-t,,Sash Lenahan,S21,0,1,1,1
78,79-t,,Ken  McNickle*,S21,0,1*,1*,1
79,81-t,,Alex Angarita,S14,0,1,1,0
80,81-t,,Chase Rice,S21,0,1,1,0
81,83+,--,,--,1,1+,0,0
82,,,Q Burdette,S46,1,1,0,0
